iso3,m49,country_name,official_name,capital_city,latitude,longitude,un_region,un_subregion,independent,un_member,income_group,wb_region
MLT,470,Malta,Republic of Malta,Valletta,35.83333333,14.58333333,Europe,Southern Europe,True,True,High income,"Middle East, North Africa, Afghanistan & Pakistan"
MMR,104,Myanmar,Republic of the Union of Myanmar,Naypyidaw,22,98,Asia,South-Eastern Asia,True,True,Lower middle income,East Asia & Pacific
MNE,499,Montenegro,Montenegro,Podgorica,42.5,19.3,Europe,Southeast Europe,True,True,Upper middle income,Europe & Central Asia
MNG,496,Mongolia,Mongolia,Ulan Bator,46,105,Asia,Eastern Asia,True,True,Upper middle income,East Asia & Pacific
MNP,580,Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,Saipan,15.2,145.75,Oceania,Micronesia,False,False,High income,East Asia & Pacific
MOZ,508,Mozambique,Republic of Mozambique,Maputo,-18.25,35,Africa,Eastern Africa,True,True,Low income,Sub-Saharan Africa 
MRT,478,Mauritania,Islamic Republic of Mauritania,Nouakchott,20,-12,Africa,Western Africa,True,True,Lower middle income,Sub-Saharan Africa 
MSR,500,Montserrat,Montserrat,Plymouth,16.75,-62.2,Americas,Caribbean,False,False,,
MTQ,474,Martinique,Martinique,Fort-de-France,14.666667,-61,Americas,Caribbean,False,False,,
MUS,480,Mauritius,Republic of Mauritius,Port Louis,-20.28333333,57.55,Africa,Eastern Africa,True,True,Upper middle income,Sub-Saharan Africa 
MWI,454,Malawi,Republic of Malawi,Lilongwe,-13.5,34,Africa,Eastern Africa,True,True,Low income,Sub-Saharan Africa 
MYS,458,Malaysia,Malaysia,Kuala Lumpur,2.5,112.5,Asia,South-Eastern Asia,True,True,Upper middle income,East Asia & Pacific
MYT,175,Mayotte,Department of Mayotte,Mamoudzou,-12.83333333,45.16666666,Africa,Eastern Africa,False,False,,
NAM,516,Namibia,Republic of Namibia,Windhoek,-22,17,Africa,Southern Africa,True,True,Lower middle income,Sub-Saharan Africa 
NCL,540,New Caledonia,New Caledonia,Nouméa,-21.5,165.5,Oceania,Melanesia,False,False,High income,East Asia & Pacific
NER,562,Niger,Republic of Niger,Niamey,16,8,Africa,Western Africa,True,True,Low income,Sub-Saharan Africa 
NFK,574,Norfolk Island,Territory of Norfolk Island,Kingston,-29.03333333,167.95,Oceania,Australia and New Zealand,False,False,,
NGA,566,Nigeria,Federal Republic of Nigeria,Abuja,10,8,Africa,Western Africa,True,True,Lower middle income,Sub-Saharan Africa 
NIC,558,Nicaragua,Republic of Nicaragua,Managua,13,-85,Americas,Central America,True,True,Lower middle income,Latin America & Caribbean 
NIU,570,Niue,Niue,Alofi,-19.03333333,-169.86666666,Oceania,Polynesia,False,False,,
NLD,528,Netherlands,Kingdom of the Netherlands,Amsterdam,52.5,5.75,Europe,Western Europe,True,True,High income,Europe & Central Asia
NOR,578,Norway,Kingdom of Norway,Oslo,62,10,Europe,Northern Europe,True,True,High income,Europe & Central Asia
NPL,524,Nepal,Federal Democratic Republic of Nepal,Kathmandu,28,84,Asia,Southern Asia,True,True,Lower middle income,South Asia
NRU,520,Nauru,Republic of Nauru,Yaren,-0.53333333,166.91666666,Oceania,Micronesia,True,True,High income,East Asia & Pacific
NZL,554,New Zealand,New Zealand,Wellington,-41,174,Oceania,Australia and New Zealand,True,True,High income,East Asia & Pacific
OMN,512,Oman,Sultanate of Oman,Muscat,21,57,Asia,Western Asia,True,True,High income,"Middle East, North Africa, Afghanistan & Pakistan"
PAK,586,Pakistan,Islamic Republic of Pakistan,Islamabad,30,70,Asia,Southern Asia,True,True,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan"
PAN,591,Panama,Republic of Panama,Panama City,9,-80,Americas,Central America,True,True,High income,Latin America & Caribbean 
PCN,612,Pitcairn Islands,Pitcairn Group of Islands,Adamstown,-25.06666666,-130.1,Oceania,Polynesia,False,False,,
PER,604,Peru,Republic of Peru,Lima,-10,-76,Americas,South America,True,True,Upper middle income,Latin America & Caribbean 
PHL,608,Philippines,Republic of the Philippines,Manila,13,122,Asia,South-Eastern Asia,True,True,Lower middle income,East Asia & Pacific
PLW,585,Palau,Republic of Palau,Ngerulmud,7.5,134.5,Oceania,Micronesia,True,True,High income,East Asia & Pacific
PNG,598,Papua New Guinea,Independent State of Papua New Guinea,Port Moresby,-6,147,Oceania,Melanesia,True,True,Lower middle income,East Asia & Pacific
POL,616,Poland,Republic of Poland,Warsaw,52,20,Europe,Central Europe,True,True,High income,Europe & Central Asia
PRI,630,Puerto Rico,Commonwealth of Puerto Rico,San Juan,18.25,-66.5,Americas,Caribbean,False,False,High income,Latin America & Caribbean 
PRK,408,North Korea,Democratic People's Republic of Korea,Pyongyang,40,127,Asia,Eastern Asia,True,True,Low income,East Asia & Pacific
PRT,620,Portugal,Portuguese Republic,Lisbon,39.5,-8,Europe,Southern Europe,True,True,High income,Europe & Central Asia
PRY,600,Paraguay,Republic of Paraguay,Asunción,-23,-58,Americas,South America,True,True,Upper middle income,Latin America & Caribbean 
PSE,275,Palestine,State of Palestine,Ramallah,31.9,35.2,Asia,Western Asia,False,False,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan"
PYF,258,French Polynesia,French Polynesia,Papeetē,-15,-140,Oceania,Polynesia,False,False,High income,East Asia & Pacific
QAT,634,Qatar,State of Qatar,Doha,25.5,51.25,Asia,Western Asia,True,True,High income,"Middle East, North Africa, Afghanistan & Pakistan"
